PC BS ee es Be ee Se oe Be Be 0 ee
"1966 13,269 3,271 7,220 8,535 35,868 144,063 37,784 44,744 52,911 32,394 N/A N/A 380,059"
"1967 14,863 3,094 7,883 7,739 32,491 146,493 35,620 44,651 55,892 33,195 N/A N/A 381,921"
"1968 17,645 3,649 9,022 9,558 37,110 139,182 38,712 43,596 53,623 33,301 N/A N/A 385,398"
"1969 19,089 3,794 8,848 10,110 39,477 134,037 41,611 45,347 53,602 32,764 N/A N/A 388,679"
"1970 21,347 3,962 9,926 10,293 46,009 135,231 39,230 47,722 59,986 31,350 N/A N/A 405,056"
"1971 23,460 4,513 11,381 11,146 50,276 133,563 40,960 49,448 62,902 30,225 N/A N/A 417,874"
"1972 23,682 4,492 12,158 11,336 53,082 131,427 41,133 50,004 63,309 31,032 N/A N/A 421,655"
"1973 27,919 4,972 15,071 12,869 57,247 141,277 41,711 51,307 67,012 33,456 N/A N/A 452,841"
"1974 25,127 5,038 13,791 11,916 58,345 136,469 37,167 51,504 66,127 27,764 591 323 434,162"
"1975 30,115 4,963 13,990 12,930 63,768 148,670 42,846 57,723 69,191 25,918 721 485 471,320"
"1976 29,621 5,756 13,326 13,743 66,453 143,816 46,681 61,669 75,739 26,561 893 513 484,771"
"1977 36,188 6,158 15,744 14,209 72,828 156,895 46,438 60,029 82,175 28,357 902 607 520,530"
"1978 37,297 6,396 16,297 15,249 74,745 159,698 50,169 57,958 77,117 = 28,561 821 638 524,946"
"1979 35,490 5,888 14,098 13,409 73,209 150,224 49,344 56,174 77,021 28,263 755 584 504,459"
"1980 31,362 5,802 14,257 12,471 76,133 147,952 48,340 54,081 79,318 27,943 732 525 498,916"
"1981 31,401 5,611. 14,130 12,287 75,178 141,677 46,528 42,856 66,163 28,243 764 514 465,352"
"1982 31,215 5,461 13,728 12,759 72,850 144,436 45,273 47,236 64,968 26,522 800 572 465,820"
"1983 30,977 5,898 13,468 12,758 67,700 139,569 40,443 45,383 61,742 24,170 750 474 443,332"
"1984 31,309 5,525 12,896 11,486 65,308 140,521 35,238 37,720 51,717 = .21,892 850 496 414,958"
"1985 25,652 5,171. 10,749 10,354 60,823 130,089 31,753 36,445 44,880 18,753 713 361 375,743"
"1986 25,498 5,300 11,047 11,083 59,685 131,930 33,570 37,692 45,042 17,924 692 358 379,821"
"1987 21,080 4,959 10,299 9,897 55,124 122,472 30,207 29,930 40,122 16,259 523 391 341,263"
"1988 23,655 4,906 10,264 10,646 57,206 117,310 25,108 23,258 34,513 15,595 496 367 323,324"
"1989 24,707 4,838 10,092 9,971 54,605 114,292 23,898 22,916 34,559 14,694 420 308 315,300"
"1990 24,831 4,625 10,115 9,974 54,700 115,130 22,641 22,964 32,212 13,851 431 240 311,714"
"1991 20,738 4,209 10,104 9,997 53,739 108,802 22,122 22,414 29,399 13,601 352 300 295,777"
"1992 20,317 3,753 9,193 9,338 49,267 103,403 20,048 20,620 28,059 = 12,429 348 256 277,031"
"1993 20,585 3,609 8,988 9,008 47,675 95,824 19,199 19,771 26,787 = 11,818 327 287 263,878"
"1994 20,399 3,380 9,314 9,468 46,537 92,344 18,838 20,254 26,211 11,037 320 294 258,396"
"1995 20,231 3,479 9,176 8,674 38,955 83,720 19,630 20,554 25,747 9,855 342 318 240,681"
"1996 16,312 3,303 8,652 8,536 36,004 80,194 19,702 20,475 27,299 10,069 318 306 231,170"
"1997 14,289 3,051 7,731 7,573 = 31,435 72,522 18,918 20,109 26,863 10,186 278 268 213,223"
"1998 13,101 2,946 7,681 7,095 30,115 70,427 18,494 21,822 22,239 9,816 286 231 204,253"
"1999 13,120 2,671 7,411 6,828 31,960 67,084 17,524 21,685 21,415 9,317 292 231 199,538"
"2000 12,220 2,805 7,072 6,402 31,375 63,678 15,856 21,962 21,792 9,010 272 ~=-224 2 192,668"
"2001 17,185 2,445 6,647 5,982 30,480 58,483 15,059 18425 19,543 8,200 224251 24 += 182,948"
"2002 16,069 2,342 6,317 5,943 29994 56,677 14,905 17,339 17,815 7,480 250 ~-217 28 175,376"
