EASTERN POPULATION WESTERN POPULATION
Pour | if Nv | Mt | AK | TOTAL |
"1962 1,000 1,000 1,000"
"1963 1,000 1,000 1,000"
"1964 1,000 1,000 1,000"
1965 995 995 995
"1966 1,000 1,000 1,000"
"1967 1,000 1,000 1,000"
"1968 1,000 1,000 1,000"
"1969 2,500 500 3,000 3,000"
"1970 2,500 500 500 3,500 3,500"
"1971 2,495 500 500 3,495 3,495"
"1972 2,500 500 500 3,500 3,500"
"1973 2,500 500 500 3,500 3,500"
"1974 2,500 500 500 3,500 3,500"
"1975 2,500 500 500 3,500 3,500"
"1976 2,500 500 500 3,500 3,500"
"1977 2,488 500 500 3,488 3,488"
"1978 2,500 500 500 3,500 3,500"
"1979 2,500 500 500 3,500 3,500"
"1980 2,500 500 500 3,500 3,500"
"1981 2,500 500 500 3,500 3,500"
"1982 2,500 500 500 3,500 3,500"
"1983 109 109 2,500 650 500 3,650 3,759"
"1984 108 1,000 1,108 2,500 650 500 3,650 4,758"
"1985 120 6,000 6,120 2,488 650 500 3,638 9,758"
"1986 170 6,000 6,170 2,500 608 500 3,608 9,778"
"1987 171 5,968 6,139 2,499 594 500 3,593 9,732"
"1988 99 400 5,995 600 7,094 2,500 260 500 112 3,372 10,466"
"1989 167 1,000 5,444 600 7,211 2,500 324 500 130 3,454 10,665"
"1990 173 1,000 500 5,989 600 8,262 2,500 297 500 81 3,378 11,640"
"1991 204 2,000 1,000 6,000 600 9,804 2,500 258 500 84 3,342 13,146"
"1992 217 2,000 1,502 5,961 600 10,280 2,500 100 500 89 3,189 13,469"
"1993 212 2,000 1,500 6,000 400 10,112 2,500 205 500 170 3,375 13,487"
"1994 232 2,000 1,500 6,000 600 10,332 2,500 206 500 216 3,422 13,754"
"1995 291 2,000 1,500 6,000 600 10,391 2,750 383 500 210 3,843 14,234"
"1996 372 2,000 1,235 5,000 600 9,207 2,750 376 500 193 3,819 13,026"
"1997 364 2,000 1,077 5,000 600 9,041 2,750 381 500 201 3,832 12,873"
"1998 429 2,000 1,216 5,000 600 9,245 2,750 492 500 192 3,934 13,179"
"1999 432 2,000 863 5,000 600 8,895 2,750 518 500 227 3,995 12,890"
"2000 434 2,000 850 5,000 600 8,884 2,000 493 500 164 3,157 12,041"
"2001 398 2,000 983 5,000 600 8,981 2,000 308 500 255 3,063 12,044"
"2002 393 2,000 1,060 5,000 600 9,053 1,998 264 500 252 3,014 12,067"
"2003 423 2,200 1,002 5,000 600 9,225 2,000 298 500 215 3,013 12,238"
"2004 320 2,200 820 5,000 600 8,940 2,000 330 500 175 3,005 11,945"
"2005 348 2,200 811 5,000 600 8,959 1,997 370 500 176 3,043 12,002"
"2006 340 2,200 811 5,000 600 8,951 1,994 605 500 168 3,267 12,218"
"2007 323 2,200 1,064 5,000 600 9,187 2,000 650 500 162 3,312 12,499"
"2008 307 2,200 958 5,000 600 9,065 2,000 535 500 182 3,217 12,282"
"2009 327 2,200 1,242 5,000 600 9,369 2,000 472 500 174 3,146 12,515"
"2010 369 2,200 1,234 5,000 600 9,403 2,000 469 500 212 3,181 12,584"
"2011 320 2,200 1,156 5,000 600 9,276 2,000 527 500 228 3,255 12,531"
"2012 338 2,200 1,266 5,000 600 9,404 2,000 650 500 165 3,315 12,719"
"2013 354 2,200 1,259 5,000 600 9,413 2,000 488 500 189 3,177 12,590"
"2014 401 2,200 1,216 5,000 600 9,417 2,000 234 500 159 2,893 12,310"
"2015 432 2,200 1,299 5,000 600 9,531 2,000 105 500 127 2,732 12,263"
"2016 410 2,200 1,083 5,000 600 9,293 2,000 404 500 114 3,018 12,311"
"2017 338 2,700 1,068 6,250 750 11,106 2,000 579 500 111 3,190 14,296"
"2018 354 2,700 1,189 6,250 750 11,243 2,000 650 500 109 3,259 14,502"
"2019 500 2,700 1,185 6,115 801 84 11,385 2,750 650 500 137 4,037 15,422"
"2020 500 2,200 1,166 4,895 638 67 9,466 2,750 50 650 500 84 4,034 13,500"
"2021 500 2,200 1,197 4,895 638 67 9,497 2,750 50 650 500 93 4,043 13,540"
"2022 500 2,200 1,265 4,721 532 347 9,565 2,750 43 650 500 87 4,030 13,595"
