p cof KS wT NE NM ND ok so eK fw
"1999 14,000 16,900 12,300 20,200 2,200 39,200 13,800 24,000 86,300 4,600"
"2000 14,000 14,900 11,300 19,200 3,100 32,200 13,500 18,400 115,600 4,300"
"2001 17,533 16,344 11,044 18,392 5,054 36,414 10,781 22,411 139,853 4,248"
"2002 12,733 15,426 14,742 16,976 4,385 34,385 14,691 19,158 103,372 4,413"
"2003 * 13,400 15,100 14,200 18,500 3,900 37,100 13,800 18,200 61,100 4,300"
"2004 ? 13,600 19,200 14,400 16,800 3,300 36,900 15,300 18,800 84,900 3,400"
"2005 ? 12,300 11,600 12,100 15,600 2,900 36,300 16,100 15,500 91,500 3,600"
"2006 * 12,416 12,663 12,941 15,992 2,424 29,691 14,236 15,333 84,228 3,960"
"2007 * 11,882 13,021 11,258 14,752 2,820 32,192 19,437 14,459 80,213 4,587"
"2008 * 13,750 16,531 12,553 14,517 2,552 26,185 14,194 14,205 72,720 3,630"
"2009 * 13,257 14,259 11,532 = 12,900 1,784 30,604 11,692 16,638 67,382 4,148"
"2010? 9,094 13,053 10,157 13,394 2,617 24,760 13,595 16,521 66,982 3,326"
"2011? 12,151 13,534 11,647 14,656 2,945 32,005 13,692 16,080 74,700 4,018"
"2012? 11,081 12,739 13,553 13,626 3,328 31,380 13,892 14,797 74,727 3,412"
"20137 11,894 16,847 10,647 12,977 2,131 32,071 18,768 13,890 46,423 4,724"
"2014? 12,977 17,684 17,522 12,021 5,363 37,275 = 17,287 15,614 = 86,253 3,464"
"20157 11,009 19,582 16,922 12,065 2,078 34,649 16,235 13,432 61,208 3,192"
"2016? 10,323 14,000 12,279 12,344 4,169 33,495 19,411 10,634 79,902 3,106"
"2017? 11,655 17,857 12,437 10,686 3,011 29,428 15,794 12,689 86,200 4,097"
"2018? 11,881 18,065 14,645 11,723 3,284 33,750 20,039 15,554 74,279 3,692"
"2019? 11,159 = 13,843) 12,912 12,064 3,687 30,520 20,894 13,975 68,966 2,718"
"2020 11,328 19,993 17,713 11,927 3,330 31,214 23,435 11,266 80,337 3,659"
"2021 ? 8,141 20,886 11,120 13,454 5,363 29,921 23,395 14,244 64,629 3,724"
"2022? 8,215 20,840 13,325 11,078 2,101 27,040 17,957 9,648 73,173 3,322"
AVERAGE:
"1999-2022 12,074 16,036 13,052 14,410 3,243 32,445 16,330 15,644 80,206 3,818"
% CHANGE FROM:
Prev. Year 1% 0% 20% -18% -61% -10% -23% -32% 13% -11%
Average -32% 30% 2% -23% -35% -17% 10% -38% -9% -13%
