p cof KS wT NE NM ND ok so eK fw
1999 6.5 13.9 10.0 9.4 11.8 13.7 20.0 12.6 15.9 10.4
2000 8.4 15.2 12.4 11.4 19.6 13.3 17.2 11.9 15.3 10.1
2001 7.8 11.1 11.2 11.8 12.2 13.5 15.3 13.1 12.1 10.1
2002 7.8 13.9 8.6 13.1 11.4 15.0 15.8 13.1 9.5 9.9
2003 7 10.3 15.5 9.4 12.5 15.6 13.4 16.3 14.0 13.4 9.2
2004 7 9.0 14.2 8.4 9.9 10.6 14.7 22.8 11.4 10.7 12.6
2005 7 8.1 13.7 9.6 10.6 11.4 14.3 17.8 11.6 13.7 9.9
2006 7 8.7 12.8 8.7 10.6 19.3 12.8 21.2 12.6 12.4 11.4
2007 7 9.5 12.7 10.6 14.1 14.7 11.6 23.6 12.7 13.4 10.9
2008 7 8.1 13.9 9.5 14.3 13.3 11.0 17.7 11.9 10.5 9.2
2009 7 9.1 13.6 9.1 12.2 18.9 15.5 22.5 13.5 14.5 10.7
2010? 8.6 14.3 10.6 11.5 13.4 13.0 18.0 11.3 14.7 10.8
2011 ? 8.7 15.0 8.7 15.2 10.7 14.4 22.2 14.1 18.6 9.1
2012? 7.9 13.7 8.9 11.4 9.0 14.6 24.6 14.9 20.0 12.2
2013? 10.5 15.8 12.6 14.7 19.0 14.6 19.8 14.5 22.6 11.2
2014? 8.1 12.9 10.2 12.6 8.7 14.6 18.3 11.2 14.1 10.9
2015? 10.2 12.1 10.9 13.8 11.7 14.7 16.1 13.5 12.0 9.7
2016? 8.4 12.8 12.1 11.3 3.9 13.1 13.3 11.7 14.6 8.5
2017? 8.0 8.7 8.6 12.9 14.1 14.5 12.5 10.2 14.0 10.1
2018? 74 9.7 11.6 10.6 11.5 14.0 10.9 9.8 12.9 9.0
2019? 6.8 11.3 8.1 12.4 12.1 13.3 13.2 13.5 11.4 9.1
20207 6.7 13.1 12.3 13.9 8.5 14.3 16.4 16.4 14.9 9.3
2021? 7.7 12.5 74 9.4 3.4 9.7 13.2 10.3 10.7 6.2
20227 5.8 6.6 5.9 8.4 5.8 12.5 77 13.3 14.5 5.8
