p co | KS ft om fT NE T NM | ND fT OK fT sop TX WY
"1999 15,300 14,400 10,700 19,400 1,700 30,600 12,000 24,700 67,900 3,300"
"2000 18,400 17,300 12,300 19,500 2,700 26,000 7,300 21,600 67,000 4,600"
"2001 16,790 15,715 10,623 18,056 3,393 26,500 7,818 26,283 76,647 3,720"
"2002 16,276 15,248 13,848 15,290 3,367 23,626 7,335 22,398 66,583 4,034"
"2003 7 15,900 16,100 14,000 18,300 2,500 27,600 8,500 20,100 47,000 4,300"
"2004 ? 14,700 15,500 12,800 15,100 2,300 24,700 10,000 19,200 47,400 3,600"
"2005 ? 14,600 12,000 9,700 15,400 2,000 26,500 9,900 15,400 58,800 4,000"
"2006 7 12,993 12,038 11,194 13,673 1,816 23,982 9,007 17,527 56,512 3,903"
"2007 7 14,642 14,294 11,932 12,460 1,711 23,123 10,843 14,010 63,638 3,927"
"2008 7 16,009 14,692 10,206 14,522 1,488 21,322 7,315 15,760 49,354 3,692"
"2009 7 15,203 12,213 12,056 11,828 961 20,707 7,616 14,558 36,708 3,618"
"2010 ? 10,651 10,700 10,689 13,778 1,722 21,609 6,526 14,174 45,974 3,845"
"2011 7 11,962 12,900 8,949 12,126 2,490 24,507 7,460 11,974 42,256 3,685"
"2012? 13,912 11,207 14,097 14,340 2,863 25,165 7,715 14,726 31,251 3,768"
"20137 14,277 15,543 6,608 13,370 2,027 24,815 9,886 14,280 30,347 4,629"
"2014? 14,568 13,716 12,533 13,186 2,974 26,690 9,402 12,101 47,485 3,729"
"2015 7 12,240 14,099 12,221 10,783 1,328 28,167 7,932 9,871 29,303 3,209"
"2016 7 15,209 15,079 8,118 13,113 1,816 24,953 7,685 12,823 45,732 3,870"
"2017? 14,044 12,328 9,681 12,970 1,563 26,724 7,880 15,230 48,202 4,207"
"2018 7 12,539 13,652 9,538 11,087 3,178 23,284 8,995 14,294 43,644 3,741"
"20197 13,305 9,648 10,604 11,803 3,215 22,134 12,059 11,366 39,238 3,257"
"2020 7 10,544 14,963 12,404 12,839 2,330 24,659 13,627 11,992 35,833 3,653"
"2021 7 10,288 17,391 11,200 13,275 3,585 26,857 11,477 13,815 35,492 3,884"
"2022 7 7,505 13,381 10,179 9,909 922 18,794 7,617 6,301 17,416 3,886"
AVERAGE:
"1999-2022 13,827 13,921 11,091 14,004 2,248 24,709 8,996 15,603 47,071 3,836"
% CHANGE FROM:
Prev. Year -27% -23% -9% -25% -7T4% -30% -34% -54% -51% 0%
Average 46% 4% -8% -29% -59% -24% -15% -60% -63% 1%
"1 Estimates for NM, CO, WY, and MT are statewide."
