EASTERN POPULATION WESTERN POPULATION
Year MT ND sD DE NC VA TOTAL UT ID NV MT AK TOTAL TOTAL
1964 940 940 940
1965 915 915 915
1966 950 950 950
1967 910 910 910
1968 930 930 930
"1969 2,225 2,225 2,225"
"1970 2,200 275 2,475 2,475"
"1971 2,146 415 245 2,806 2,806"
"1972 2,100 400 265 2,765 2,765"
"1973 2,175 375 230 2,780 2,780"
"1974 2,200 385 350 2,935 2,935"
"1975 2,175 390 350 2,915 2,915"
"1976 2,150 410 380 2,940 2,940"
"1977 2,264 380 2,644 2,644"
"1978 2,150 370 350 2,870 2,870"
"1979 2,150 390 390 2,930 2,930"
"1980 2,100 395 400 2,895 2,895"
"1981 2,225 445 330 3,000 3,000"
"1982 2,200 400 340 2,940 2,940"
"1983 70 70 2,125 507 375 3,007 3,077"
"1984 58 867 925 2,150 494 305 2,949 3,874"
"1985 60 5,080 5,140 2,021 436 275 2,732 7,872"
"1986 51 4,888 4,939 2,075 480 270 2,825 7,764"
"1987 106 5,014 5,120 1,924 404 395 2,723 7,843"
"1988 60 301 4,729 519 5,609 1,875 195 355 71 2,496 8,105"
"1989 117 865 4,446 517 5,945 1,925 262 400 81 2,668 8,613"
"1990 121 816 485 4,859 499 6,780 2,050 232 370 46 2,698 9,478"
"1991 131 1,565 850 4,849 488 7,883 1,950 181 185 53 2,369 10,251"
"1992 139 1,648 1,352 4,675 516 8,330 1,875 71 365 58 2,369 10,699"
"1993 119 1,603 1,350 4,802 334 8,208 2,025 135 380 83 2,623 10,831"
"1994 145 1,616 1,260 4,790 489 8,300 2,100 161 405 119 2,785 11,085"
"1995 175 1,638 900 4,776 495 7,984 2,172 287 340 118 2,917 10,901"
"1996 219 1,549 840 3,773 476 6,857 2,392 331 415 81 3,219 10,076"
"1997 262 1,671 872 3,892 503 7,200 2,392 328 395 125 3,240 10,440"
"1998 308 1,559 851 3,762 481 6,961 2,420 418 415 108 3,361 10,322"
"1999 282 1,675 690 3,836 445 6,928 2,338 435 390 148 3,311 10,239"
"2000 260 1,566 606 4,047 513 6,992 1,680 360 301 59 2,400 9,392"
"2001 233 1,553 827 3,997 510 7,120 1,560 240 340 151 2,291 9,411"
"2002 200 1,550 693 3,951 485 6,879 1,658 182 305 151 2,296 9,175"
"2003 199 1,436 587 4,257 520 6,999 1,740 221 250 131 2,342 9,341"
"2004 230 1,564 579 3,958 526 6,857 1,600 221 400 91 2,312 9,169"
"2005 240 1,715 539 4,180 527 7,201 1,618 270 380 83 2,351 9,552"
"2006 211 1,650 543 4,074 520 6,998 1,775 442 325 82 2,624 9,621"
"2007 213 1,672 700 4,126 509 7,220 1,800 501 400 70 2,770 9,990"
"2008 193 1,738 653 4,244 523 7,351 1,760 369 385 109 2,623 9,975"
"2009 193 1,804 752 4,322 492 7,563 1,780 283 405 92 2,560 10,123"
"2010 207 1,694 665 4,246 500 7,312 1,720 356 360 129 2,566 9,877"
"2011 192 1,760 740 4,200 454 7,346 1,740 401 390 128 2,658 10,004"
"2012 213 1,650 680 4,179 452 7,174 1,820 501 370 114 2,804 9,978"
"2013 202 1,671 722 4,308 442 7,345 1,540 268 375 110 2,293 9,638"
"2014 265 1,692 739 4,069 417 7,182 1,740 280 345 80 2,445 9,626"
"2015 346 1,672 1,129 4,309 545 8,001 1,740 60 407 101 2,308 10,309"
"2016 339 1,561 954 3,744 444 7,042 1,620 294 436 41 2,391 9,433"
"2017 128 1,755 625 5,309 522 8,339 1,640 405 200 37 2,282 10,621"
"2018 223 1,863 710 5,265 532 8,593 1,618 625 305 51 2,599 11,192"
"2019 201 1,755 1,038 70 5,124 565 8,753 2,226 411 247 48 2,932 11,685"
"2020 201 1,430 1,019 38 4,174 454 7,316 2,236 32 421 245 61 2,995 10,311"
"2021 221 1,386 1,023 55 4,044 482 7,211 2,077 30 292 292 73 2,764 9,975"
"2022 210 1,622 1,276 283 4,062 396 7,849 1,832 26 361 300 36 2,555 10,404"
AVERAGES:
"1962-69 1,145 1,145 1,145"
"1970-79 2,171 391 315 2,806 2,806"
"1980-89 75 583 4,171 518 3,964 2,062 402 345 76 2,823 5,598"
"1990-99 190 1,534 945 4,401 473 7,543 2,171 258 366 94 2,889 10,432"
"2000-09 217 1,625 648 4,116 513 7,118 1,697 309 349 102 2,457 9,575"
"2010-19 232 1,707 800 70 4,475 487 7,709 1,740 360 344 84 2,528 10,236"
"2020-29 211 1,479 1,106 125 4,093 444 7,459 2,048 29 358 279 57 2,771 10,230"
"Start-2022 189 1,550 826 112 4,288 488 6,846 1,908 29 328 345 89 2,661 9,507"
