Year MT ND SD DE NC VA TOTAL UT ID NV MT AK _ TOTAL TOTAL
1962
1963
1964 0.45 0.45 0.45
1965 0.43 0.43 0.43
1966 0.60 0.60 0.60
1967 0.37 0.37 0.37
1968 0.67 0.67 0.67
1969 0.74 0.79 0.79
1970 0.57 0.65 0.67 0.67
1971 0.60 0.29 0.37 0.53 0.53
1972 0.55 0.35 0.57 0.52 0.52
1973 0.66 0.32 0.49 0.60 0.60
1974 0.72 0.56 0.90 0.72 0.72
1975 0.71 0.57 0.87 0.71 0.71
1976 0.58 0.55 0.40 0.55 0.55
1977 0.83 0.25 0.84 0.84
1978 0.70 0.25 0.47 0.61 0.61
1979 0.71 0.66 0.86 0.73 0.73
1980 0.64 0.30 0.68 0.60 0.60
1981 0.87 0.79 0.59 0.82 0.82
1982 0.69 0.46 0.44 0.63 0.63
1983 0.49 0.49 0.66 0.38 0.63 0.61 0.61
1984 0.39 0.39 0.39 0.60 0.51 0.74 0.60 0.55
1985 0.32 0.55 0.55 0.37 0.36 0.72 0.40 0.50
1986 0.80 0.53 0.53 0.51 0.53 0.80 0.54 0.53
1987 0.26 0.60 0.62 0.33 0.26 0.77 0.38 0.53
1988 0.45 0.72 0.58 0.24 0.55 0.51 0.42 0.79 0.23 0.53 0.55
1989 0.39 0.68 0.53 0.29 0.53 0.44 0.32 0.85 0.27 0.48 0.52
1990 0.51 0.70 0.84 0.64 0.29 0.63 0.50 0.31 0.80 0.35 0.52 0.60
1991 0.41 0.52 0.61 0.65 0.45 0.61 0.48 0.35 0.46 0.15 0.46 0.57
1992 0.27 0.59 0.71 0.62 0.40 0.61 0.26 0.44 0.62 0.29 0.32 0.54
1993 0.18 0.49 0.51 0.62 0.41 0.56 0.19 0.43 0.84 0.36 0.30 0.50
1994 0.44 0.48 0.47 0.82 0.41 0.67 0.42 0.60 0.86 0.35 0.49 0.63
1995 0.34 0.55 0.22 0.67 0.45 0.57 0.38 0.32 0.57 0.49 0.38 0.52
1996 0.30 0.48 0.30 0.61 0.42 0.52 0.84 0.41 0.78 0.65 0.72 0.58
1997 0.44 0.56 0.51 0.64 0.45 0.59 0.73 0.45 0.90 0.52 0.66 0.61
1998 0.29 0.43 0.29 0.65 0.52 0.53 1.05 0.50 0.78 0.48 0.86 0.64
1999 0.34 0.57 0.36 0.61 0.30 0.55 0.83 0.53 0.61 0.65 0.71 0.60
2000 0.50 0.44 0.30 0.67 0.36 0.56 0.47 0.24 0.82 1.95 0.51 0.54
2001 0.42 0.40 0.46 0.63 0.30 0.53 0.21 0.27 0.94 0.77 0.36 0.46
2002 0.28 0.48 0.32 0.63 0.38 0.54 0.39 0.28 0.59 0.36 0.40 0.50
2003 0.29 0.18 0.07 0.58 0.35 0.43 0.52 0.37 0.53 0.63 0.51 0.45
2004 0.48 0.50 0.25 0.46 0.32 0.44 0.48 0.41 0.67 0.60 0.51 0.46
2005 0.42 0.49 0.29 0.62 0.40 0.54 0.62 0.39 0.83 0.55 0.62 0.56
2006 0.30 0.40 0.33 0.59 0.33 0.50 0.58 0.36 0.53 0.88 0.54 0.51
2007 0.30 0.44 0.23 0.57 0.39 0.49 0.56 0.45 0.82 0.93 0.59 0.52
2008 0.29 0.56 0.42 0.61 0.49 0.56 0.47 0.37 0.55 0.62 0.48 0.54
2009 0.36 0.56 0.45 0.54 0.36 0.52 0.52 0.21 0.80 0.88 0.54 0.52
2010 0.22 0.47 0.33 0.62 0.49 0.54 0.47 0.35 0.63 0.54 0.48 0.52
2011 0.34 0.44 0.39 0.61 0.33 0.52 0.45 0.39 0.69 0.77 0.49 0.51
2012 0.38 0.40 0.26 0.62 0.39 0.52 0.56 0.44 0.83 0.48 0.57 0.53
2013 0.34 0.49 0.44 0.60 0.39 0.54 0.27 0.11 0.68 0.58 0.33 0.49
2014 1.52 0.50 0.38 0.63 0.41 0.59 0.51 0.09 0.51 0.60 0.46 0.56
2015 0.32 0.39 0.20 0.62 0.32 0.48 0.57 0.18 0.71 0.72 0.59 0.50
2016 0.27 0.40 0.10 0.56 0.30 0.43 0.55 0.46 0.54 0.93 0.54 0.46
2017 0.38 0.49 0.38 0.62 0.49 0.56 0.55 0.34 0.59 0.76 0.52 0.55
2018 0.27 0.50 0.27 0.54 0.39 0.50 0.64 0.39 0.40 0.78 0.55 0.51
2019 0.26 0.42 0.22 0.69 0.59 0.37 0.49 0.58 0.59 0.63 1.40 0.60 0.52
2020 0.38 0.40 0.19 0.68 0.60 0.29 0.48 0.65 0.56 0.68 0.67 0.62 0.65 0.53
2021 0.39 0.25 0.09 0.76 0.60 0.28 0.43 0.55 0.63 0.47 0.84 1.23 0.59 0.48
2022 0.48 0.48 0.12 0.76 0.64 0.39 0.50 0.51 0.42 0.43 0.77 0.67 0.53 0.51
AVERAGES:
1962-69 0.54 0.55 0.55
1970-79 0.66 0.42 0.62 0.65 0.65
1980-89 0.44 0.70 0.53 0.27 0.52 0.56 0.43 0.70 0.25 0.56 0.58
1990-99 0.35 0.54 0.48 0.65 0.41 0.58 0.57 0.43 0.72 0.43 0.54 0.58
2000-09 0.36 0.45 0.31 0.59 0.37 0.51 0.48 0.34 0.71 0.82 0.51 0.51
2010-19 0.43 0.45 0.30 0.69 0.60 0.39 0.52 0.51 0.33 0.62 0.76 0.51 0.52
2020-29 0.42 0.38 0.14 0.74 0.61 0.32 0.47 0.57 0.54 0.52 0.76 0.84 0.59 0.51
Start-2022 0.39 0.48 0.34 0.72 0.60 0.38 0.53 0.52 0.54 0.38 0.70 0.66 0.52 0.53
