CEN ATL MISS PAC *,
[co] KS] Mt] NE] NM] ND] OK | SD],| wy _]j | FLyway| Fvyway | rivway| rLyway| [US]
1999 0 0 0 0 0 0 0 0 0 0 0 194 327 0 521,
2000 0 0 0 0 0 0 0 0 0 0 0 252 0 0 252,
"2001 0 0 0 0 0 0 0 0 0 0 0 267 946 0 1,213",
2002 0 0 0 0 0 0 0 0 0 0 0 125 140 0 265,
2003 ' 0 0 0 0 0 0 0 0 520 0 520 0 0 0 520,
"2004 ' 0 0 0 0 0 0 0 0 283 0 283 776 1,461 0 2,520",
2005 ' 0 0 0 0 0 0 0 0 0 0 0 Att 0 0 Att,
"2006 ' 0 0 0 0 0 0 0 0 0 0 0 797 732 0 1,529",
"2007 | 0 0 0 0 0 0 0 0 718 0 718 612 1,926 0 3,256",
"2008 ' 0 0 0 0 0 0 0 0 0 0 0 316 735 0 1,051",
"2009 ' 0 0 0 0 0 0 0 0 660 0 660 1,642 2,948 0 5,250",
"2010' 0 0 0 0 0 0 0 0 465 0 465 1,274 0 0 1,739",
"20111 0 0 0 0 0 0 0 0 267 0 267 1,468 0 0 1,735",
"20121 0 0 0 0 0 0 0 0 566 0 566 1,567 2,344 0 4,477",
"20131 0 0 0 0 0 0 0 0 0 0 0 2,069 4,649 0 6,718",
"20141 0 0 0 0 0 0 0 0 581 0 581 812 276 0 1,669",
"2015 ' 0 0 0 0 0 0 0 0 663 0 663 1,780 0 0 2,443",
"2016 ' 0 0 0 0 0 0 0 0 324 0 324 1,649 0 0 1,973",
"2017 ' 0 0 0 0 0 0 0 0 0 0 0 691 530 0 1,221",
"2018 ' 0 0 0 0 0 0 0 0 524 0 524 1,879 349 0 2,752",
"2019 ' 0 0 0 0 0 0 0 0 141 0 141 904 1,756 0 2,801",
2020 ' 0 0 0 0 0 0 0 0 192 0 192 465 0 0 657,
"2021 ' 0 0 0 0 0 0 0 0 398 0 398 1,121 1,252 0 2,771",
"2022 ' 0 0 0 0 0 0 0 0 0 0 0 776 558 0 1,334",
AVERAGE:,
% CHANGE FROM:,
Prev. Year -100% -100% -31% -55% -52%,
