CEN ATL MISS PAC
[co KS NEN ND OK Sx wy] |
"1999 163 277 582 1,389 0 18,174 455 3,483 12,873 348 37,744 64,263 = 80,808 += 29,261 212,076"
"2000 770 149 771 773 295 23,006 882 4,223 52,380 81 83,330 32,331 184,008 +~=31,353 331,022"
"2001 424 895 80 933 231 23,483 429 3,582 41,764 96 71,917 111,237 170,824 30,221 384,199"
"2002 1,550 1,997 758 3,489 315 25,472 4,062 4,519 44,840 436 87,438 85,457 182,132 32,866 387,893"
"2003"" 895 913 201 2,644 129 17,065 1,647 3,208 17,863 444 45,009 60,939 145,607 39,082 290,587"
"2004"" 811 1,766 188 848 0 20,187 1,383 8,068 33,071 477 66,799 54,891 108,351 52,347 282,388"
"2005"" 382 244 114 339 37 21,709 2,406 4,207 24,840 163 54,441 63,698 111,357 29,471 258,967"
"2006"" 484 845 83 831 267 20,568 2,057 7,057 18,688 68 50,948 46,619 101,219 34,723 233,509"
"2007"" 178 648 345 561 286 16,168 2,514 4,157 15,806 0 40,663 46,504 84,791 52,006 224,054"
"2008"" 0 1,200 294 301 110 10,209 848 4,834 11,182 36 29,014 25,791 97,340 27,414 179,559"
"2009"" 279 731 325 344 71 26,197 433 4,189 11,212 249 44,030 35,908 += 111,522. 30,608 222,068"
"2010"" 720 1,424 294 142 35 18,390 858 4,270 13,718 0 39,851 67,005 157,275 23,776 287,907"
"2011"" 122 1,271 822 639 0 12,294 1,700 3,437 23,191 61 43,537 46,195 114,903 22,791 227,426"
"2012"" 300 1,751 1,680 1,112 77 27,987 4,210 4,033 69,601 97 110,848 153,057 307,579 62,797 634,281"
"2013"" 437 996 2,281 1,174 0 13,677 3,994 1,725 22,071 277 46,632 60,416 97,873 41,363 246,284"
"2014"" 431 1,148 645 0 772 21,367 3,284. 1,765 42,979 339 72,730 55,076 156,083 38,036 321,925"
"2015 ' 1,421 151 0 215 0 19,501 781 4,662 14,915 41 41,687 -37,438118,419 28,553 226,097"
"2016 ' 311 587 321 302 80 19,509 1,006 4,336 13,279 0 39,731 23,932 67,223 32,858 163,744"
"2017 ' 723 1,229 168 132 234 21,415 1,089 2,669 44,910 137 72,706 50,424 185,503 -22,226 330,859"
"2018 ' 467 732 669 270 80 25,136 881 3,884 12,398 61 44,578 45,084 86,568 -~.27,576 203,806"
"2019 ' 355 933 181 382 229 29,209 1,536 5,533 26,977 95 65,430 15,647 75,001 24,395 180,473"
"2020 ' 248 1,387 265 1,276 128 10,147 1,318 3,457 25,386 157 43,769 31,117 102,147 30,092 207,125"
"2021 ' 219 1,591 0 113 22 4,080 1,978 1,986 14,719 60 24,769 21,247 54,779 31,528 132,322"
"2022 ' 975 878 100 437 545,549 0 1,193 16,915 95 26,196 30,413 49,530 17,773 123,913"
AVERAGE:
"1999-2022 528 989 465 777 144 18,771 1,656 3,937 26,066 159 53,492 52,699 122,952 33,044 262,187"
% CHANGE FROM:
Average 85% -11% + -79% = -44% = 62% = -70% += -100% += -70% += -35% += -40% -51% -42% -60% -46% -53%
