CEN ATL MISS PAC
a
1999 1.16 1.35 1.36 1.35 1.33
2000 0.92 1.31 1.14 1.66 1.22
2001 1.38 1.81 2.52 1.95 2.09
2002 1.09 1.47 1.61 1.87 1.53
2003 ' 1.67 1.89 2.47 2.48 2.26
2004 ' 1.60 2.11 2.11 2.36 2.07
2005 ' 2.63 2.40 3.13 3.38 3.02
2006 ' 1.93 1.93 2.80 2.97 2.61
2007 ' 2.10 1.73 2.09 1.84 1.94
2008 ' 1.16 1.84 2.08 1.96 1.76
2009 ' 2.19 2.00 2.78 2.28 2.31
2010 ' 2.57 2.00 3.35 2.75 2.67
2011' 2.68 1.84 3.79 4.12 3.11
2012 ' 2.17 1.85 3.28 2.35 2.41
2013 ' 2.49 2.00 2.70 2.02 3.00
2014 ' 2.73 1.99 3.33 1.99 2.51
2015 ' 2.01 2.10 2.68 2.00 2.23
2016 ' 1.71 2.30 2.42 1.95 2.11
2017 ' 1.80 2.06 2.05 2.67 2.22
2018 ' 2.19 1.82 2.40 1.63 1.99
2019 ' 2.41 1.74 2.61 1.91 2.21
2020 ' 2.00 1.47 2.61 1.74 2.10
2021 ' 1.34 1.54 2.14 1.48 1.75
2022 ' 2.44 1.51 2.90 2.16 2.45
