CEN ATL MISS PAC
[co] KS [at [ne ND OK SK wy] les
1999 0.69 0.63 0.68 0.81 1.08 1.10 0.47 0.91 0.48 0.42 0.73 0.91 0.89 0.96 0.88
2000 0.55 0.41 0.44 0.66 0.62 0.86 0.24 0.81 0.47 0.47 0.54 0.92 0.68 1.02 0.74
2001 0.66 0.62 0.61 0.71 1.00 1.34 0.39 0.72 0.53 0.47 0.71 1.14 1.33 1.22 1.13
2002 0.48 0.51 0.60 0.71 0.89 0.92 0.33 1.04 0.33 0.42 0.60 0.96 0.90 1.17 0.87
2003 ' 0.86 0.70 0.83 0.84 1.10 1.44 0.48 1.34 0.42 0.90 0.87 1.26 1.40 1.51 1.29
2004 ' 0.70 0.57 0.60 0.55 1.22 1.21 0.56 1.17 0.53 0.59 0.74 1.37 1.03 1.43 1.06
2005 ' 0.98 1.07 0.85 1.08 1.95 2.60 0.53 1.98 1.04 0.82 1.26 1.54 1.63 1.98 1.62
2006 ' 0.73 0.75 0.96 1.04 0.84 2.36 0.63 1.63 0.69 0.86 1.05 1.35 1.44 1.82 1.45
2007 ' 1.08 1.03 1.24 1.04 1.69 2.13 0.64 1.79 0.69 0.80 1.07 1.31 1.20 1.23 1.20
2008 ' 0.55 0.65 0.75 0.67 1.21 1.33 0.27 1.20 0.41 0.54 0.70 1.22 1.06 1.19 1.04
2009 ' 0.68 0.64 0.77 0.81 1.35 2.35 0.42 1.67 0.69 0.87 1.01 1.37 1.24 3.40 1.25
20101 0.86 1.26 1.02 1.34 1.49 2.44 0.64 2.50 0.87 1.30 1.29 1.30 1.59 1.63 1.53
20111 1.60 1.24 1.02 1.22 1.52 3.66 0.68 2.90 0.86 1.56 1.52 1.24 1.91 2.28 1.85
2012' 0.92 0.74 1.15 0.99 1.31 3.20 0.39 2.37 0.66 1.09 1.17 1.38 1.68 1.35 1.46
2013' 0.99 0.90 1.61 1.11 1.22 2.59 0.58 1.94 0.83 0.76 1.19 1.37 1.31 1.25 1.28
20141 1.10 1.10 1.30 1.50 1.90 3.20 0.70 2.30 1.00 0.80 1.43 1.33 1.66 1.25 1.50
2015 ' 0.74 0.54 0.75 1.15 1.69 2.25 0.50 1.74 0.52 0.58 0.97 1.38 1.19 1.21 1.16
2016 ' 0.65 0.59 0.57 0.77 1.12 1.66 0.41 1.75 0.51 0.68 0.78 1.24 1.09 1.25 1.07
2017 ' 0.86 0.53 0.55 0.87 1.11 1.83 0.47 1.27 0.36 1.23 0.85 1.17 0.92 1.56 1.06
2018 ' 0.67 0.63 1.12 0.86 0.66 2.22 0.42 1.65 0.58 0.76 0.90 1.12 1.07 0.94 1.00
20191 0.86 0.49 1.12 1.05 2.31 1.62 0.50 1.99 0.67 0.61 0.92 1.19 1.05 1.13 1.06
2020 ' 0.99 0.57 0.79 0.74 1.18 1.52 0.47 1.68 0.48 0.63 0.82 1.06 1.19 1.02 1.05
2021 ' 0.82 0.47 0.59 0.68 1.14 0.85 0.40 0.99 0.50 0.45 0.59 0.98 0.85 0.81 0.79
2022 ' 0.97 0.66 1.35 0.80 1.21 2.35 0.68 1.63 0.73 1.08 1.01 1.09 1.12 1.12 1.10
