CEN ATL MISS PAC
CE
1999 1.05 1.04 1.38 1.24 1.25
2000 0.63 1.22 0.99 2.18 1.04
2001 1.31 1.20 2.05 1.29 1.60
2002 1.03 1.15 1.67 1.25 1.43
2003 ' 1.07 1.59 1.66 1.57 1.58
2004 ' 1.36 1.28 1.53 2.39 1.47
2005 ' 1.01 1.27 1.32 2.41 1.32
2006 ' 1.08 0.99 1.61 2.06 1.37
2007 ' 1.64 0.97 1.28 1.12 1.18
2008 ' 1.63 1.21 1.77 1.23 1.53
2009 ' 1.01 1.31 2.05 2.08 1.71
2010 ' 1.42 1.20 1.78 1.43 1.54
2011 ' 1.09 0.90 1.22 1.69 1.12
2012 ' 0.97 1.09 1.25 1.36 1.19
2013 ' 1.11 1.45 1.45 1.23 1.43
2014 ' 1.13 1.33 2.04 1.96 1.69
2015 ' 2.34 1.32 1.74 2.18 1.61
2016 ' 0.87 1.37 1.29 1.70 1.29
2017 ' 1.63 1.36 1.19 2.71 1.32
2018 ' 1.33 1.38 1.34 1.99 1.37
2019 ' 1.74 1.41 1.45 1.53 1.46
2020 ' 1.12 0.93 1.01 1.82 1.00
2021 ' 1.08 1.25 0.96 1.17 1.06
2022 ' 1.22 1.30 1.05 1.44 1.16
