CEN ATL MISS PAC
Cs
1999 1.27 1.98 1.25 0.92 1.25
2000 0.56 0.79 0.71 0.92 0.68
2001 1.00 0.82 1.32 0.78 1.14
2002 0.80 0.52 0.68 1.01 0.74
2003 ' 1.62 0.86 1.23 1.41 1.34
2004 ' 0.92 0.73 0.93 0.96 0.93
2005 ' 1.17 1.30 1.81 1.78 1.52
2006 ' 0.94 1.35 1.39 1.13 1.19
2007 ' 1.29 1.35 1.37 0.79 1.25
2008 ' 0.70 0.79 0.74 0.79 0.74
2009 ' 1.16 1.00 1.32 1.03 1.22
2010 ' 1.68 1.82 1.72 1.34 1.66
2011 ' 1.38 2.61 1.82 1.46 1.68
2012 ' 0.95 1.13 1.21 0.84 1.10
2013 ' 1.25 1.48 1.25 1.13 1.25
2014 ' 1.29 1.68 1.32 1.32 1.33
2015 ' 1.26 1.09 1.03 1.00 1.09
2016 ' 0.94 1.28 1.02 0.97 1.01
2017 ' 1.00 0.81 0.79 1.54 0.94
2018 ' 1.10 0.92 1.10 1.05 1.08
2019 ' 1.25 0.71 1.05 1.45 1.14
2020 ' 1.31 0.70 1.06 0.92 1.12
2021 ' 0.57 0.50 0.50 0.52 0.53
2022 ' 1.25 2.75 1.27 1.02 1.29
