CEN ATL MISS PAC
_
1999 0.88 0.26 0.62 1.02 0.57
2000 0.41 0.33 0.36 1.20 0.42
2001 1.04 0.67 0.60 1.65 0.75
2002 1.35 0.47 0.85 1.66 0.88
2003 ' 0.95 0.77 1.33 1.58 1.16
2004 ' 1.16 0.37 0.89 1.74 0.92
2005 ' 0.54 0.50 0.57 2.11 0.63
2006 ' 1.13 0.85 1.79 1.77 1.39
2007 ' 1.08 0.77 1.05 1.36 1.05
2008 ' 0.67 0.46 0.63 2.57 0.75
2009 ' 0.82 0.52 0.53 1.37 0.66
2010 ' 1.23 0.80 1.54 1.07 1.24
20111 1.29 1.18 1.55 1.29 1.39
2012 ' 1.09 0.46 0.66 2.07 0.74
2013 ' 2.22 0.58 1.15 1.41 1.14
2014 ' 0.78 0.83 0.86 1.82 0.91
2015 ' 0.83 0.88 0.88 1.47 0.93
2016 ' 1.12 1.18 1.33 1.14 1.21
2017 ' 1.01 0.91 1.06 1.81 1.06
2018 ' 0.85 0.39 0.52 1.67 0.64
2019 ' 0.89 0.90 1.18 2.71 1.56
2020 ' 0.92 0.76 0.68 2.18 1.64
2021 ' 1.03 1.77 1.38 1.40 1.36
2022 ' 1.55 0.85 1.18 3.33 1.31
