CEN ATL MISS PAC
Cos
1999 0.99 1.74 0.46 0.84
2000 0.75 1.54 1.27 1.23
2001 1.46 2.27 0.48 0.92
2002 3.31 1.65 2.87 0.94 1.82
2003 ' 0.98 1.37 0.72 0.96
2004 * 8.65 2.06 3.05 1.71 2.39
2005 ' 0.87 2.58 1.06 1.49
2006 ' 1.81 1.80 0.56 1.33
2007 ' 0.78 1.26 1.23 1.19
2008 ' 0.37 0.79 1.22 0.80
2009 ' 0.63 1.24 1.19 1.06
2010 ' 0.57 1.15 0.64 0.80
2011 ' 0.86 2.01 0.48 1.22
2012 ' 0.79 0.98 1.06 0.95
2013 ' 1.85 1.09 1.52 1.38
2014 ' 1.15 1.53 1.21 1.45
2015 ' 1.28 1.69 2.21 1.31 1.82
2016 ' 2.71 3.31 0.92 2.15
2017 ' 1.21 2.31 1.19 1.50
2018 ' 0.37 1.44 1.41 0.91
2019 ' 0.70 0.96 2.39 1.86 1.59
2020 ' 0.75 1.95 1.27 1.27
2021 ' 0.83 1.61 0.70 1.01
2022 ' 3.05 1.90 1.49 2.30
