CEN ATL MISS PAC
os
1999 1.75 2.24 3.02 0.80 1.93
2000 0.42 0.43 0.72 0.73 0.53
2001 0.71 0.46 1.97 0.44 0.93
2002 0.24 0.10 0.21 1.10 0.30
2003 ' 1.64 0.54 1.58 1.69 1.53
2004 ' 0.81 0.29 0.80 1.54 0.89
2005 ' 2.63 2.18 3.15 2.11 2.70
2006 ' 2.13 1.47 2.32 1.50 2.07
2007 ' 2.21 1.47 2.45 1.18 2.09
2008 ' 0.56 0.13 0.68 0.52 0.56
2009 ' 1.56 0.38 1.62 0.70 1.32
2010 ' 3.47 1.93 6.54 1.27 3.69
2011 ' 2.15 2.30 4.51 2.46 3.03
2012 ' 1.51 0.92 2.29 1.12 1.62
2013 ' 2.25 1.46 2.92 1.82 2.32
2014 ' 3.19 1.94 2.88 1.39 2.80
2015 ' 1.33 0.83 2.00 0.51 1.38
2016 ' 0.68 0.72 1.12 0.73 0.81
2017 ' 1.43 0.76 1.23 1.67 1.27
2018 ' 1.79 0.48 1.08 1.29 1.18
2019 ' 1.81 0.77 1.83 3.05 1.73
2020 ' 1.81 1.01 2.18 1.53 1.79
2021 ' 0.85 0.70 0.82 0.58 0.76
2022 ' 2.15 2.24 3.17 1.93 1.93
