CEN ATL MISS PAC
=
1999 1.33 2.37 1.63 1.04 1.47
2000 1.50 1.20 1.07 1.21 1.21
2001 1.79 1.16 1.98 1.03 1.56
2002 1.78 1.85 2.13 1.40 1.81
2003 ' 2.10 1.83 1.91 1.14 1.71
2004 ' 1.82 1.30 1.07 1.28 1.29
2005 ' 1.37 1.67 1.96 1.74 1.72
2006 ' 1.97 2.00 2.30 1.45 1.89
2007 ' 1.83 1.90 1.98 1.22 1.66
2008 ' 1.68 1.61 1.68 0.92 1.26
2009 ' 1.59 1.62 1.23 1.05 1.25
2010' 1.68 1.95 1.61 0.87 1.39
2011' 1.81 1.97 2.00 1.28 1.75
2012' 1.39 2.05 1.60 0.93 1.36
2013 ' 1.71 1.77 1.80 1.35 1.66
2014 ' 1.53 1.68 1.48 1.30 1.46
2015 ' 1.53 1.66 1.63 1.27 1.48
2016 ' 1.20 1.70 1.58 0.90 1.24
2017 ' 1.59 1.52 1.50 1.09 1.38
2018 ' 1.36 1.42 1.01 0.81 1.01
2019 ' 1.81 1.78 1.30 1.10 1.34
2020 ' 1.49 1.82 1.80 0.83 1.33
2021 ' 2.01 1.82 1.59 0.84 1.39
2022 ' 2.15 1.69 1.84 1.17 1.71
