CEN ATL MISS PAC
Cos
1999 1.82 1.39 1.95 1.27 1.83
2000 1.76 0.74 1.39 0.96 1.42
2001 2.27 1.24 2.42 1.20 2.19
2002 1.90 0.80 1.96 1.13 1.74
2003 ' 2.69 1.29 1.95 1.50 2.04
2004 ' 1.57 0.88 1.34 0.87 1.29
2005 ' 2.28 1.36 2.47 1.41 2.09
2006 ' 2.10 1.39 1.75 1.07 1.74
2007 ' 2.85 1.24 1.87 1.73 2.03
2008 ' 1.59 0.86 0.92 0.83 1.03
2009 ' 1.42 0.96 1.24 0.63 1.22
2010 ' 1.57 0.97 1.71 0.94 1.52
2011 ' 2.36 1.97 1.59 1.34 1.79
2012 ' 1.85 1.25 1.29 1.14 1.39
2013 ' 2.19 0.98 1.49 1.68 1.62
2014 ' 1.46 0.85 1.16 1.19 1.24
2015 ' 1.43 1.18 1.28 0.74 1.30
2016 ' 0.95 0.93 1.26 0.83 1.04
2017 ' 1.18 1.57 1.75 1.09 1.45
2018 ' 1.59 0.94 1.76 1.30 1.57
2019 ' 1.74 1.31 1.36 0.81 1.44
2020 ' 1.53 2.25 1.58 0.71 1.54
2021 ' 1.44 1.34 1.03 1.31 1.20
2022 ' 1.64 1.82 1.96 1.72 1.80
