CEN ATL MISS PAC
FLYWAY FLYWAY FLYWAY FLYWAY [us]
1999 1.87 1.48 146 1.78 1.58
2000 2.10 1.40 1.54 1.60 1.60
2001 1.96 1.40 1.51 1.66 1.59
2002 1.98 1.49 146 1.64 1.57
2003 ' 2.22 1.57 167 1.73 1.74
2004 ' 214 1.48 1.64 2.03 1.77
2005 ' 212 1.57 1.75 1.85 1.80
2006 ' 253 1.59 1.80 1.76 1.85
2007 ' 253 1.57 1.95 1.83 1.97
2008 ' 2.92 1.57 1.73 1.82 2.01
2009 ' 242 1.48 1.71 1.72 1.83
2010 ' 214 141 1.55 1.80 1.73
2011 | 233 1.53 1.59 1.74 1.80
2012 ' 1.97 1.52 1.58 1.64 1.68
2013 | 2.07 1.48 1.53 1.80 1.72
2014 | 230 1.30 1.43 1.84 1.72
2015 | 236 1.53 1.58 1.96 1.88
2016 ' 2.22 1.24 1.50 1.95 1.76
2017 2.06 1.39 148 1.97 1.76
2018 | 216 1.49 162 1.78 1.78
2019 ' 217 = 1.43 1.72 1.79 1.80
2020 ' 2.09 1.61 1.71 1.90 1.81
2021 ' 213 1.65 1.56 2.01 1.76
2022 ' 1.81 1.82 169 1.88 1.80
Preliminary
