CEN ATL MISS PAC
oe
1999 3.57 2.70 2.77 2.90 2.91
2000 4.27 2.43 3.27 3.25 3.33
2001 4.76 2.82 3.79 3.25 3.79
2002 4.42 2.84 3.42 3.24 3.52
2003 ' 4.98 2.83 3.65 3.40 3.75
2004 ' 5.62 2.75 4.30 3.92 4.31
2005 ' 5.31 3.00 4.17 3.79 4.12
2006 ' 5.51 2.72 4.47 3.51 4.13
2007 ' 5.96 2.40 4.13 3.22 3.93
2008 ' 5.53 2.88 4.39 3.67 4.12
2009 ' 6.44 2.64 5.08 3.38 4.39
2010 ' 5.32 2.70 4.38 3.71 4.03
2011 ' 4.91 2.78 4.16 3.95 3.95
2012 ' 4.52 2.39 4.05 3.60 3.64
2013 ' 5.43 2.63 4.24 3.55 3.97
2014 ' 5.34 2.43 3.97 3.50 3.81
2015 ' 5.94 2.86 4.84 3.91 4.62
2016 ' 6.08 3.20 4.53 3.61 4.48
2017 ' 5.49 3.19 4.54 4.09 4.44
2018 ' 6.70 3.09 4.93 3.79 4.68
2019 ' 7.28 2.57 5.79 3.71 5.04
2020 ' 6.60 2.63 4.94 4.00 4.63
2021 ' 6.14 3.14 5.44 4.52 5.08
2022 ' 6.12 2.87 5.97 4.54 4.88
