[co [KS | MT | NE | NM | ND | OK | SD | 1X | WY | | FLYway| Flyway | FLYWAY|FLYWAY| | TOTAL TOTAL | | CANADA,,
"1999 49,715 66,255 19,028 64,775 2,201 110,727 35,773 109,271 72,395 9,194 539,335 137,900 590,100 314,554 1,581,889 565,242 2,147,131",,
"2000 86,921 98,005 34,764 113,441 1,996 66,949 47,966 90,803 125,837 25,499 692,179 150,300 745,000 338,847 1,926,326 612,056 2,538,382",,
"2001 55,052 72,707 19,221 83,833 1,792 64,721 13,458 126,736 123,859 13,486 574,866 482,337 576,572 267,207 1,900,982 637,016 2,537,998",,
"2002 62,101 80,982 30,314 56,322 1,010 75,862 26,606 91,574 96,286 15,471 536,530 476,787 569,464 243,793 1,826,575 645,664 2,472,239",,
"2003 ' 92,037 123,866 37,264 104,141 2,723 82,252 35,398 109,067 62,525 23,083 672,355 476,710 814,580 321,130 2,284,776 671,654 2,956,430",,
"2004 ' 60,401 80,118 27,277 62,272 1,271 76,927 41,230 74,363 43,489 20,421 487,770 410,800 631,320 298,764 1,828,654 626,801 2,455,455",,
"2005 ' 67,991 99,178 17,887 97,578 1,444 85,243 27,345 57,822 83,145 18,217 555,852 520,600 586,257 314,006 1,976,714 712,042 2,688,756",,
"2006 ' 64,235 59,566 25,399 56,688 910 82,455 41,736 97,985 62,362 21,163 512,500 437,000 747,050 305,365 2,001,915 678,011 2,679,926",,
"2007 ' 62,192 59,968 23,876 61,794 4,023 74,622 47,496 60,042 47,066 11,834 452,913 601,243 675,477 287,861 2,017,493 703,857 2,721,350",,
"2008 ' 85,716 87,067 16,154 83,358 2,350 64,167 31,887 68,441 43,950 22,529 505,618 662,042 739,354 316,303 2,223,317 735,005 2,958,322",,
"2009 ' 68,099 92,267 25,925 76,421 2,032 67,625 26,848 62,445 54,583 17,052 493,297 612,263 731,196 297,884 2,134,639 711,213 2,845,852",,
"2010 ' 49,062 66,494 18,162 103,477 1,489 87,419 20,442 53,527 70,113 20,434 490,619 598,001 677,156 274,598","2,040,374 691,162 2,731,536",
"2011' 31,450 51,900 21,785 68,644 6,719 89,720 26,329 53,423 45,323 14,571 409,864 372,191 621,518 279,651 1,683,224 730,316 2,413,540",,
"2012 ' 83,356 72,204 46,313 97,777 3,420 120,859 40,580 76,360 56,486 28,198 625,552 502,704 582,328 304,148 2,014,732 740,882 2,755,614",,
"2013 ' 91,554 108,657 28,436 111,033 2,405 122,071 75,625 78,947 36,917 26,665 682,310 506,580 668,795 253,604 2,111,290 726,082 2,837,372",,
"2014 ' 101,543 166,812 46,516 113,903 2,911 113,531 49,281 51,592 33,592 15,791 695,472 452,666 543,541 286,154 1,977,833 757,547 2,735,380",,
"2015 | 67,723 71,175 40,469 89,315 1,396 101,485 34,599 44,392 13,786 15,086 479,426 367,251 471,676 247,582 1,565,935 776,462 2,342,397",,
"2016 ' 93,085 96,863 24,509 115,248 1,734 106,368 41,181 54,376 28,793 24,401 586,558 651,204 846,784 250,559 2,335,105 764,088 3,099,193",,
"2017 ' 95,410 95,786 36,339 138,904 1,089 126,903 54,889 63,545 30,175 34,851 677,891 477,300 1,009,409 267,034 2,431,634 834,299 3,265,933",,
"2018 | 68,618 50,579 37,632 99,129 7,892 87,913 35,890 40,835 70,306 19,135 517,929 330,254 675,034 297,374 1,820,591 721,308 2,541,899",,
"2019 ' 61,958 50,037 46,372 104,059 1,445 105,152 58,493 41,216 53,617 18,908 541,257 280,865 810,614 269,259 ~- 1,901,995 732,547 2,634,542",,
"2020 ' 54,077 78,030 49,113 74,816 3,528 71,727 82,076 59,013 46,624 15,852 534,856 251,621 861,739 255,263 1,822,047 512,145 2,334,192",,
"2021 ' 76,440 90,108 34,873 91,232 2,416 61,992 32,627 53,461 25,222 25,450 463,955 185,850 773,893 179,416","1,603,113 594,567 2,197,680",
"2022 ' 47,411 72,608 24,187 75,303 2,958 59,625 73,428 30,716 41,100 22,740 450,077 162,697 577,413 210,045","1,400,232 586,829 1,987,061",
"1999-2022 69,839 82,968 30,492 89,311 2,548 87,763 41,716 68,748 56,981 20,001 549,124 421,132 688,595 278,350 1,933,808 686,116 2,619,924",,
Prev. Year 41% += 15% = -29% = 22% = -32% = -14% += -60% = -9% 46% 61% -13% -26% 10% -30% 12%,,
Average 9% 9% 14% 2% 5% -29%,-22%,-22% -56% 27% -16% -56% 12% -36% 17%
""" Preliminary",,
