CEN ATL MISS PAC U.S. CANADA U.S. +,,
[co [ST WET NOK TST wy] | etvway | ruvway | etvway| ruyway} | rorat | | torat | | canaba,,
"1999 65,204 85,700 19,407 102,300 7,043 174,000 42,999 167,501 553,099 9,436 1,226,689 495,912 1,275,870 455,307 3,453,778 842,857 4,296,635",,
"2000 94,975 119,000 35,528 125,701 7,803 139,700 61,801 131,801 639,100 25,613 1,381,022 513,974 1,385,591 433,538 3,714,125 963,917 4,678,042",,
"2001 65,350 87,499 19,539 100,600 19,708 162,184 24,600 190,000 489,300 13,486 1,172,266 789,170 1,292,293 358,216 3,611,945 992,264 4,604,209",,
"2002 76,083 115,400 30,874 70,900 8,866 130,200 36,299 156,500 393,354 15,471 1,033,947 782,786 1,186,643 328,281 3,331,657 908,578 4,240,235",,
"2003 ' 114,998 159,700 37,717 114,677 6,585 149,799 41,901 185,801 299,399 23,408 1,133,985 737,340 1,528,350 422,194 3,821,869 1,005,736 4,827,605",,
"2004 ' 72,505 103,700 27,390 72,700 4,661 138,201 49,801 129,398 248,100 20,619 867,075 682,330 1,235,600 403,124 3,188,129 888,785 4,076,914",,
"2005 ' 80,322 108,300 18,210 113,700 5,167 153,302 42,499 103,101 457,300 18,881 1,100,782 841,105 1,275,300 443,362 3,660,549 974,614 4,635,163",,
"2006 ' 82,859 90,400 25,483 69,299 3,912 153,700 55,100 158,699 298,400 21,163 959,015 714,287 1,444,901 460,881 3,579,084 999,737 4,578,821",,
"2007 ' 74,431 84,699 24,208 71,501 6,517 138,100 62,200 98,999 361,056 11,877 933,588 935,285 1,330,901 464,967 3,664,741 961,027 4,625,768",,
"2008 ' 93,528 120,900 16,154 92,700 2,721 133,460 40,100 121,400 272,400 22,529 915,892 1,006,048 1,342,900 557,075 3,821,915 1,156,009 4,977,924",,
"2009 ' 77,076 115,201 26,789 82,500 2,878 136,699 32,501 118,500 196,499 17,118 805,761 922,200 1,163,401 435,639 3,327,001 944,761 4,271,762",,
"2010 ' 51,663 75,800 18,261 107,108 1,986 130,224 31,755 97,057 252,073 20,524 786,451 832,595 1,131,204 439,827 3,190,077 944,707 4,134,784",,
"2011 ' 40,459 91,653 21,785 77,797 8,528 147,610 31,971 106,398 236,157 14,902 777,260 580,417 1,081,670 439,296 2,878,643 1,065,057 3,943,700",,
"2012 ' 87,389 92,967 46,313 113,810 5,261 184,865 49,981 140,875 208,387 28,528 958,376 764,500 1,020,719 447,212 3,190,807 1,010,763 4,201,570",,
"2013 ' 97,148 151,837 28,769 133,593 2,405 199,593 99,761 153,982 148,754 26,665 1,042,507 705,637 1,195,450 404,626 3,348,220 1,061,069 4,409,289",,
"2014 ' 102,460 218,285 46,682 114,603 8,297 190,101 60,805 90,449 340,395 15,791 1,187,868 660,316 995,224 477,697 3,321,105 1,161,892 4,482,997",,
"2015 ' 68,911 108,920 41,828 90,927 2,284 162,378 42,119 73,130 92,562 15,086 698,145 515,631 913,083 410,647 2,537,506 1,013,425 3,550,931",,
"2016 ' 108,741 127,998 24,767 128,489 2,099 179,612 49,237 87,002 196,634 24,525 929,104 739,649 1,178,171 396,385 3,243,309 980,010 4,223,319",,
"2017 ' 118,689 114,793 36,621 143,230 1,132 219,553 60,791 124,973 231,935 35,069 1,086,786 645,360 1,349,984 491,960 3,543,290 1,104,701 4,647,991",,
"2018 ' 70,762 65,782 38,069 100,198 8,356 138,519 39,199 74,803 149,526 19,135 704,347 425,388 843,927 491,185 2,464,847 927,486 3,392,333",,
"2019 ' 64,495 70,813 46,702 105,729 1,565 159,630 64,883 74,822 173,654 19,351 781,644 425,835 1,023,160 439,665 2,670,304 962,562 3,632,866",,
"2020 ' 58,542 106,381 49,321 76,981 3,949 142,341 91,823 137,320 157,441 15,914 840,012 403,914 1,058,447 556,848 2,859,222 618,708 3,477,930",,
"2021 ' 79,640 131,181 39,328 108,159 3,489 162,740 75,112 96,253 103,081 27,053 713,584 309,067 1,009,434 413,168 2,445,251 787,739 3,232,990",,
"2022 ' 50,838 81,508 25,402 77,718 3,311 100,767 81,900 48,773 74,445 23,1960 567,862 298,352 703,630 408,759 1,978,603 787,931 2,766,534",,
AVERAGES:,,
"1999-2022 79,045 109,517 31,048 99,788 5,355 155,303 52,881 119,481 273,877 20,223 941,832 655,296 1,165,244 440,827 3,201,916 961,014 4,162,930",,
% CHANGE FROM:,,
Prev. Year -36% = -38% += -35% = -28% += 5% ~-38% 9%,-49% -28%,-14% -20% -3% -30% 1% 19% 0% 14%
Average -36% -26% -18% -22% -38% -35% 55% -59% -73% 15% -40% -54% -40% -T% -38% -18% -34%,,
