CEN
p co | KS | mT | NE | NM] ND | OK YT sD | mx | hwy
"1999 15,864 11,500 1,391 9,158 1,233 47,095 11,563 15,924 64,287 1,391 179,405"
"2000 19,603 19,153 1,910 14,272 484 31,232 12,862 6,832 99,144 2,732 208,224"
"2001 14,918 15,108 1,381 14,461 597 36,839 6,335 18,022 102,658 1,583 211,901"
"2002 14,839 15,329 2,239 5,964 224 18,738 9,266 16,928 76,133 1,521 161,180"
"2003 ' 29,714 29,620 2,523 11,027 1,683 22,845 16,872 17,475 37,876 2,709 172,345"
"2004 ' 19,972 11,668 1,754 9,642 170 21,262 19,842 7,587 27,804 1,388 121,089"
"2005 ' 27,552 19,020 754 26,336 18,433 12,955 5,991 78,988 2,215 192,244"
"2006 ' 19,131 12,380 1,003 7,615 74 15,761 17,774 10,806 39,563 1,287 125,394"
"2007 ' 18,927 24,512 663 9,419 402 12,278 23,325 5,201 38,684 907 134,319"
"2008 ' 12,586 32,650 554 10,300 186 12,889 8,938 5,214 25,238 2,453 111,008"
"2009 ' 23,524 16,800 123 8,684 508 15,457 10,951 9,686 47,565 790 134,088"
"2010 ' 22,364 12,213 197 14,523 110 17,535 4,962 4,307 58,428 2,509 137,149"
"2011 ' 15,725 9,938 456 8,954 17,506 15,045 5,365 34,191 1,407 108,588"
"2012 ' 31,370 25,411 348 12,616 526 20,331 20,537 8415 45,036 6,843 171,435"
"2013 ' 39,531 39,994 111 10,838 134 18,548 49,880 3,201 29,316 1,476 193,029"
"2014 ' 40,113 65,295 QO 21,729 582 25,420 31,628 2,449 20,155 902 208,273"
"2015 ' 29,109 18,692 1,963 9,028 0 11,830 8,524 1,636 6,893 1,683 89,358"
"2016 ' 27,079 15,760 903 11,735 183 15,842 21,486 2,132 9,129 2,409 106,658"
"2017 ' 34,262 22,258 1,980 22,771 171 18,642 18296 8927 25,442 4,909 157,658"
"2018 ' 32,554 15,641 2,297 14,528 2,321 10,343 15,272 1,299 57,433 1,990 153,678"
"2019 '? 27,321 17,314 2,088 12,527 0 7,963 22,611 1,585 36,811 2,659 130,879"
