CEN ATL MISS PAC
ps
1999 0.55 0.60 0.54 0.67 0.59
2000 0.53 0.41 0.50 0.60 0.49
2001 0.58 0.48 0.59 0.56 0.53
2002 0.45 0.40 0.61 0.51 0.50
2003 ' 0.53 0.56 0.55 0.71 0.56
2004 ' 0.40 0.46 0.38 0.61 0.43
2005 ' 0.54 0.62 0.52 0.47 0.54
2006 ' 0.47 0.53 0.54 0.45 0.51
2007 ' 0.40 0.40 0.50 0.44 0.44
2008 ' 0.51 0.59 0.51 0.38 0.52
2009 ' 0.57 0.37 0.47 0.50 0.46
2010' 0.60 0.63 0.55 0.45 0.57
2011 ' 0.64 0.34 0.52 0.50 0.49
2012 ' 0.55 0.46 0.40 0.45 0.46
2013 ' 0.36 0.47 0.39 0.60 0.42
2014' 0.47 0.36 0.37 0.59 0.42
2015 ' 0.38 0.41 0.47 0.47 0.43
2016 ' 0.44 0.44 0.42 0.71 0.46
2017 ' 0.49 0.50 0.41 0.51 0.46
2018 ' 0.28 0.24 0.32 0.40 0.30
2019 ' 0.35 0.41 0.36 0.35 0.37
2020 ' 0.46 0.48 0.37 0.36 0.41
2021 ' 0.41 0.40 0.36 0.28 0.37
2022 ' 0.25 0.36 0.33 0.24 0.30
