CEN ATL MISS PAC
YEAR FLYWAY | FLYWay | FLYWaAY | FLYway | [U.S._]
1999 0.74 0.86 1.57 0.85
2000 0.57 0.44 0.80 0.54
2001 0.46 0.66 0.68 0.58
2002 0.50 0.49 0.32 0.47
2003 ' 1.27 0.82 0.53 0.92
2004 ' 0.65 0.44 0.72 0.55
2005 ' 0.81 0.58 1.16 0.77
2006 ' 1.16 0.91 0.86 0.97
2007 ' 0.70 0.31 0.68 0.48
2008 ' 0.50 0.35 0.72 0.50
2010 ' 0.70 0.46 0.94 0.66
2011 ' 0.87 1.06 0.71 0.87
2012 ' 0.70 0.35 0.77 0.56
2013 ' 0.76 0.48 0.43 0.53
2014 ' 0.67 0.52 0.52 0.58
2015 ' 0.69 0.78 1.05 0.83
2016 ' 0.39 0.71 0.75 0.62
2017 ' 0.56 0.64 0.29 0.53
2018 ' 0.29 0.24 0.44 0.31
2019 ' 0.56 0.63 0.55 0.60
2020 ' 0.46 0.44 0.56 0.49
2021 ' 0.37 0.57 0.50 0.52
2022 ' 0.35 0.45 0.36 0.41
Preliminary 24-Jan-24
