CEN ATL MISS PAC
Cs
1999 2.64 1.04 2.23
2000 1.08 0.50 0.98
2001 1.96 0.72 1.92
2002 0.98 0.69 0.95
2003 ' 2.22 1.25 1.93
2004 ' 0.34 0.24 0.35
2005 ' 1.55 0.91 1.60
2006 ' 1.37 0.90 1.79
2007 ' 0.91 0.22 0.64
2008 ' 1.57 2.07 0.39 1.26
2009 ' 0.70 0.10 0.54
2010 ' 0.93 0.19 0.60
2011 ' 1.22 0.31 0.74
2012 ' 0.89 0.15 0.56
2013 ' 1.06 0.36 0.79
2014 ' 0.85 0.32 0.86
2015 ' 0.61 0.69 0.68
2016 ' 1.07 0.88 0.77 0.96
2017 ' 0.79 1.48 0.86 0.96
2018 ' 0.11 0.29 0.16
2019 ' 0.97 1.25 0.71 0.92
2020 ' 0.53 1.78 0.88
2021 ' 0.77 0.95 1.51 1.06
2022 ' 1.54 2.33 2.36
