"2003 ' 32,800 19,100 38,100 - 40,600 1,600 19,000 7,100 5,700 20,100 10,900 217,700 3,000"
"2004 ' 37,900 19,400 35,800 13,700 41,600 2,600 19,100 9,900 4,500 27,100 10,000 287,700 3,200"
"2005 ' 43,429 18,392 32,386 5,963 40,234 2,043 17,847 9,349 3,065 34,464 7,132 257,180 2,497"
"2006 ' 31,300 19,800 35,400 8,000 44,700 1,800 15,000 7,100 4,000 36,100 8,100 258,900 2,300"
"2007 ' 37,000 21,800 36,300 7,700 42,600 1,700 17,000 8,600 3,200 24,600 6,000 275,200 4,000"
"2008 ' 23,320 23,201 26,756 11,326 34,271 2,078 13,572 6,286 2,741 19,327 7,262 271,268 2,519"
"2009 ' 22,420 20,305 29,379 6,768 21,483 2,506 15,987 7,772 = 2,795 18,564 6,511 236,576 2,336"
"2010' 23,907 15,876 28,207 9,970 29,282 1,633 15,758 5,851 3,834 19,500 4,976 244,595 2,671"
"2011' 25,331 15,306 5,843 32,798 9,384 31,637 2,162 15,496 6,712 3,738 17,149 6,236 253,241 2,671"
"2012' 21,418 16,997 - 12,163 6,764 23,836 198 13,198 9,020 4,941 15,669 4,546 207,185 2,727"
"2013' 8,928 15,618 12,937 31,936 7,685 36,372 1,686 13,544 6,511 6,270 23,296 6,238 178,855 3,134"
"2014"" 19,875 14,396 9,156 26,247 6,873 24,090 1,413 9,744 7,613 3,907 19,104 6,378 276,800 1,545"
"2015' 17,830 14,204 9,204 28,624 9,697 22,520 1,636 8,979 7,008 4,246 18,215 5,293 220,662 1,673"
"2016 ' 16,260 13,055 9,725 28,625 6,457 25,208 1,860 9,659 4,444 5,322 23,771 5,582 278,678 1,743"
"2017' 16,240 11,287 11,212 21,816 6,830 27,356 1,254 12,291 5,489 4,056 17,474 5,709 190,469 717"
"2018 ' 12,378 9,998 8,968 22,877 7,084 25,968 1,233 11,625 9,891 3,905 13,554 4,940 199,108 1,371"
"2019' 14,263 10,675 3,634 22,316 2,851 21,125 1,636 10,734 8,349 4,057 14,809 4,691 216,295 1,257"
"2020 ' 17,428 12,655 9,702 22,816 7,002 24,315 2,208 12,375 10,582 4,483 18,984 5,993 216,132 1,044"
"2021' 15,521 9,789 7,500 25,534 4,210 19,754 2,098 10,381 11,476 5,533 14,761 5,445 170,274 1,240"
"2022' 9,980 8,657 6,318 22,019 7,193 15,615 1,555 10,012 5,319 2,650 14,204 3,964 172,223 1,417"
