[ ar [co | ow ks [own | wo fom | ne [om [ono Tok Tso x | hw [us]
"2003 ' 595,600 262,000 853,600 - 732,900 19,100 354,900 154,400 77,800 515,600 199,900 3,909,000 39,600 7,714,400 8,078,500 2,420,100 18,213,200"
"2004 ' 740,600 299,900 689,400 107,000 775,900 20,900 365,900 302,800 57,500 555,300 184,100 5,664,600 43,700 9,807,600 7,712,000 2,470,600 19,990,200"
"2005 ' 861,621 263,359 680,370 48,822 641,795 17,792 371,075 250,090 55,473 828,528 127,700 5,710,707 34,074 9,891,405 9,793,000 2,465,486 22,149,889"
"2006 ' 621,500 270,300 711,800 50,000 709,500 14,800 249,700 226,900 56,400 704,400 103,300 5,138,700 29,500 8,886,800 8,155,400 2,202,900 19,272,400"
"2007 ' 791,700 315,000 725,100 67,400 603,300 20,900 319,600 198,700 48,700 480,000 104,000 5,463,300 42,600 9,180,300 8,908,400 2,461,500 20,550,000"
"2008 ' 422,041 288,438 443,742 83,454 467,833 18,381 238,647 138,069 26,386 361,204 152,099 4,849,583 30,080 7,519,957 7,671,758 2,210,705 17,402,421"
"2009 ' 353,534 242,354 572,613 61,491 294,712 12,709 277,563 170,246 39,970 378,417 105,368 4,945,108 20,560 7,474,642 7,639,194 2,241,012 17,354,848"
"2010' 446,350 171,979 511,197 98,943 426,005 17,421 276,411 128,022 54,166 268,700 64,330 4,699,316 32,099 7,194,939 7,473,535 2,561,966 17,230,440"
"2011' 519,314 178,713 56,778 534,804 57,348 359,582 14,444 265,498 76,850 41,762 379,365 87,210 5,061,083 24,965 7,657,716 6,666,900 2,256,289 16,580,904"
"2012' 494,190 204,327 - 244,779 65,442 296,600 2,622 223,413 160,144 78,875 349,693 65,495 4,150,771 25,253 6,361,603 6,279,871 1,849,379 14,490,853"
"2013' 155,860 176,894 214,313 504,393 53,519 587,568 11,980 239,845 123,027 88,156 421,170 118,304 3,506,735 34,204 6,235,968 6,350,562 1,943,271 14,529,801"
"2014"" 347,942 173,116 129,961 485,304 54,805 374,154 = 8,518 172,897 115,164 47,639 417,925 106,758 5,199,449 21,058 7,654,691 4,889,812 1,264,964 13,809,468"
"2015' 252,414 204,471 111,462 558,176 96,710 307,390 18,039 160,621 111,881 73,527 293,998 84,506 4,892,144 14,914 7,180,254 4,644,890 1,332,165 13,157,309"
"2016 ' 258,221 141,248 128,109 427,608 96,718 321,634 16,040 131,979 47,877 76,924 400,365 112,415 5,155,315 20,114 7,334,567 4,606,029 1,561,436 13,502,032"
"2017' 287,122 117,645 134,876 290,649 39,133 367,227 8,890 177,912 73,893 59,443 315,569 111,605 3,469,459 9,392 5,462,816 4,783,344 1,314,973 11,561,133"
"2018 ' 170,574 121,489 107,842 337,648 55,273 309,406 9,831 189,087 126,909 65,247 181,323 69,398 2,990,357 14,764 4,749,149 4,167,631 1,457,697 10,374,478"
"2019' 328,117 106,269 29,907 389,772 40,158 268,023 16,564 137,686 125,404 75,034 247,914 103,331 3,385,042 13,198 5,266,419 3,656,849 1,060,225 9,983,494"
"2020 ' 320,326 124,646 104,579 365,986 63,127 318,393 32,924 159,946 147,401 75,427 339,635 92,768 3,729,307 11,269 5,885,731 4,648,333 1,170,053 11,704,118"
"2021' 181,303 122,920 61,363 400,247 22,555 259,654 18,380 148,015 151,840 91,494 212,865 88,220 2,467,739 10,001 4,236,596 3,822,119 1,143,338 9,202,052"
"2022' 123,508 112,679 58,286 375,572 65,811 182,579 17,883 130,961 77,800 33,611 149,623 50,528 2,640,594 19,196 4,038,631 3,268,472 947,520 8,254,622"
AVERAGE:
"2003-2022 413,592 194,887 103,407 505,138 61,385 430,208 15,906 229,583 145,371 61,177 390,080 106,567 4,351,415 24,527 6,986,709 6,160,830 1,816,779 14,965,683"
