Lco uy ks NM Tok Tx)
"2003 ' 0 399 3,299 258 77,211"
"2004 ' 0 366 3,383 710 106,369"
"2005 ' 961 335 4,002 2,219 109,257"
"2006 ' 1,135 562 3,639 1,895 105,319"
"2007 ' 2,332 1,789 5,038 2,894 133,209"
"2008 ' 3,286 1,306 = 3,174 2,104 134,888"
"2009 ' 2,493 1,804 3,662 1,768 108,579"
"2010' 1998 1,124 3,011 2,526 129,213"
"2011' 1,343 1,547 4,555 1,801 119,769"
"2012' 2,363 4,803 870 108,125"
"2013' 1,744 1,625 3,123 3,924 93,848"
"2014! 1,861 1,304 4,264 1,851 130,377"
"2015' 1,402 1,519 3,486 2,155 133,697"
"2016' 415 140 2,748 2,496 137,537"
"2017' 2,097 1,397 3,100 2,627 118,295"
"2018 ' 772 189 6,209 1,247 130,514"
"2019' 888 1,224 4,653 1,776 125,880"
"2020 ' 2,190 1,918 6,222 2,633 121,104"
"2021 ' 1,009 1,100 6,997 2,346 96,389"
"2022 ' 1,344 4,527 3,515 3,933 99,857"
' Preliminary
