(cos oK TK Ces]
"2003 ' - 1,823 15,018 1,034 357,028 374,903 15,497 101,501 491,901"
"2004 ' - 915 13,401 3,394 383,283 400,993 5,857 112,463 519,313"
"2005 ' 3,079 1,419 20,998 5,830 432,998 464,324 9,471 94,405 568,200"
"2006 ' 2,451 4,266 17,464 8,719 459,378 492,278 26,897 89,739 608,914"
"2007 ' 19,712 6,170 26,351 11,232 519,507 582,972 39,189 102,147 724,308"
"2008 ' 9,137 3,376 13,740 8,487 468,181 502,921 31,228 124,451 658,600"
"2009 ' 6,588 3,885 20,388 4,756 425,005 460,622 38,983 105,780 605,385,"
"2010' 4,331 4,489 10,388 8,426 470,352 497,986 20,680 117,099 635,765"
"2011 | 3,701 4,444 16,839 6,776 458,529 490,289 31,459 98,949 620,697"
"2012' 5,602 - 24,400 3,594 423,317 456,913 31,694 81,296 569,903"
"2013 ' 2,789 4,277 13,089 11,385 359,966 391,506 27,038 95,867 514,411"
"2014' 4,244 4,920 15,555 9,915 472,834 507,467 30,406 30,406 611,851"
"2015' 3,635 5,805 13,182 5,523 511,578 539,723 16,871 59,615 616,209"
"2016 ' 1,291 421 9,848 5,748 522,096 539,405 12,768 72,944 625,117"
"2017 ' 3,504 2,115 7,949 9,274 407,384 430,226 25,438 63,823 519,487"
"2018 ' 2,543 205 18,271 2,409 374,924 398,352 14,094 56,552 468,997"
"2019! 3,475 3,709 13,850 7,919 426,523 454,475 14,805 45,782 515,062"
"2020 ' 4,341 2,371 23,562 7,718 469,843 507,835 25,759 52,220 588,209"
"2021 ' 1,877 2,442 23,613 6,618 333,500 368,050 10,742 51,038 429,830"
"2022 ' 2,422 9,219 10,647 7,161 204,645 234,094 22,809 43,891 300,793"
AVERAGE:
