Pacific
| z [co | mm | or | [a]
"2003 ' 1,400 900 400 100 2,800 14,400 17,200"
"2004 ' 1,400 500 700 200 2,800 17,900 20,700"
"2005 ' 2,200 100 300 100 2,700 13,500 16,200"
"2006 ' 500 600 100 400 1,600 14,900 16,500"
"2007 ' 1,000 900 2,800 200 4,900 12,700 17,600"
"2008 ' 1,614 2,523 582 0 4,719 30,151 34,870"
"2009 ' 2,339 1,396 1,270 0 5,005 22,638 27,643"
"2010' 671 1,457 2,661 223 5,012 18,384 23,396"
"2011 ' 952 298 466 93 1,809 11,933 13,742"
"2012 ' 1,325 1,091 332 98 2,846 10,851 13,697"
"2013 ' 879 40 190 509 1,618 6,808 8,327"
"2014! 736 424 207 142 1,509 12,033 13,543"
"2015 ' 464 171 100 17 752 7,347 8,098"
"2016 ' 479 213 177 239 1,108 5,865 6,972"
"2017 ' 82 30 163 0 276 6,033 6,308"
"2018 ' 128 N/A 58 11 197 11,631 11,828"
"2019 ' 487 16 52 43 599 9,685 10,284"
"2020 ' 73 4 219 46 342 6,082 6,423"
"2021 ' 126 41 122 17 306 5,564 5,870"
"2022 ' 329 49 231 0 608 2,851 3,459"
AVERAGE:
