Pacific
Pe2 fe ts Le | ce]
"2003 ' 3,700 2,100 1,400 600 7,800 18,200 26,000"
"2004 ' 2,300 700 300 100 3,400 13,900 17,300"
"2005 ' 1,600 300 400 200 2,500 11,000 13,500"
"2006 ' 1,100 1,700 300 200 3,300 15,400 18,700"
"2007 ' 5,000 3,800 3,600 400 12,800 13,500 26,300"
"2008 ' 3,316 6,080 2,140 677 12,213 31,284 43,498"
"2009 ' 4,146 6,127 2,343 593 13,209 24,384 37,593"
"2010 ' 5,819 3,895 3,195 670 13,578 13,679 27,257"
"2011 ' 944 652 851 340 2,787 12,769 15,556"
"2012 ' 4,765 1,292 540 196 6,794 9,795 16,589"
"2013 ' 840 539 376 254 2,009 6,201 8,209"
"2014 ' 1,915 778 274 355 3,322 8,779 12,100"
"2015 ' 1,727 628 493 133 2,981 6,187 9,168"
"2016 ' 421 136 128 130 815 6,335 7,149"
"2017! 140 56 296 32 524 6,125 6,649"
"2018 ' 566 N/A 210 57 833 8,929 9,762"
"2019 ' 1,760 62 191 73 2,086 10,677 12,764"
"2020 ' 1,378 54 385 80 1,897 5,001 6,898"
"2021 ' 1,020 150 265 74 1,509 6,267 7,776"
"2022 ' 816 73 363 151 1,402 2,334 3,736"
AVERAGE:
