YEAR MAL GWT BWT CAN SCP TOTAL CANADA TOTAL
PONDS
"1955 8,777 652 3,217 1,807 5,305 1,643 9,775 540 589 5,620 37,925"
"1956 10,453 773 3,145 1,525 4,998 1,781 10,373 757 699 5,994 40,498"
"1957 9,297 667 2,920 1,103 4,300 1,476 6,607 509 626 5,767 33,272"
"1958 11,234 502 2,552 1,347 5,457 1,384 6,038 457 747 5,350 35,068"
"1959 9,024 590 3,788 2,653 5,099 1,578 5,873 499 489 7,038 36,631"
"1960 7,372 784 2,988 1,427 4,293 1,825 5,722 498 606 4,869 30,384"
"1961 7,330 655 3,048 1,729 3,655 1,383 4,218 323 435 5,380 28,156 1,977"
"1962 5,536 905 1,959 723 3,011 1,269 3,624 508 360 5,286 23,181 2,369"
"1963 6,749 1,055 1,831 1,242 3,724 1,398 3,846 413 506 5,438 26,202 2,482"
"1964 6,064 873 2,590 1,561 4,021 1,718 3,291 528 644 5,132 26,422 3,371"
"1965 5,132 1,260 2,301 1,282 3,595 1,424 3,592 599 522 4,640 24,347 4,379"
"1966 6,732 1,680 2,318 1,617 3,733 2,147 4,812 713 663 4,439 28,854 4,555"
"1967 7,510 1,385 2,326 1,594 4,492 2,315 5,278 736 503 4,928 31,067 4,691"
"1968 7,089 1,949 2,299 1,431 3,463 1,685 3,489 499 564 4,413 26,881 1,986"
"1969 7,532 1,573 2,941 1,491 4,139 2,157 5,904 633 504 5,140 32,014 3,548"
"1970 9,986 1,608 3,470 2,183 4,862 2,230 6,392 622 580 5,663 37,596 4,875"
"1971 9,416 1,606 3,273 1,889 4,610 2,011 5,847 534 451 5,134 34,771 4,053"
"1972 9,266 1,623 3,200 1,948 4,279 2,467 6,979 551 426 7,997 38,736 4,009"
"1973 8,079 1,246 2,878 1,949 3,333 1,619 4,356 501 621 6,257 30,839 2,950"
"1974 6,880 1,592 2,672 1,865 4,976 2,011 6,598 626 513 5,781 33,514 1,841 6,390 8,231"
"1975 7,727 1,644 2,778 1,665 5,885 1,981 5,900 832 595 6,460 35,467 1,911 5,320 7,231"
"1976 7,934 1,245 2,505 1,548 4,745 1,748 5,476 666 614 5,819 32,300 1,392 4,599 5,990"
"1977 7,397 1,299 2,575 1,286 4,463 1,452 3,226 634 664 6,260 29,256 771 2,278 3,049"
"1978 7,425 1,558 3,282 2,174 4,499 1,975 5,108 725 373 5,984 33,103 1,590 3,622 5,213"
"1979 7,883 1,758 3,107 2,072 4,876 2,407 5,376 698 582 7,658 36,417 1,522 4,859 6,381"
"1980 7,707 1,393 3,596 2,050 4,895 1,908 4,508 728 735 6,382 33,902 761 2,141 2,902"
"1981 6,410 1,395 2,946 1,911 3,721 2,334 3,480 595 621 5,991 29,404 683 1,443 2,126"
"1982 6,409 1,634 2,459 1,536 3,658 2,148 3,709 617 513 5,532 28,215 1,458 3,185 4,643"
"1983 6,456 1,519 2,636 1,875 3,367 1,876 3,511 712 527 7174 29,653 1,259 3,906 5,165"
"1984 5,415 1,515 3,002 1,408 3,979 1,618 2,965 671 530 7,024 28,127 1,766 2,473 4,239"
"1985 4,961 1,303 2,051 1,475 3,502 1,702 2,516 578 376 5,098 23,562 1,327 4,283 5,610"
"1986 6,124 1,547 1,737 1,675 4,479 2,128 2,740 560 438 5,235 26,663 1,735 4,025 5,760"
"1987 5,790 1,306 2,013 2,006 3,529 1,950 2,628 502 450 4,863 25,037 1,348 2,524 3,872"
"1988 6,369 1,350 2,211 2,061 4,011 1,681 2,006 442 435 4,671 25,237 791 2,110 2,901"
"1989 5,645 1,415 1,973 1,842 3,125 1,538 2,112 511 477 4,342 22,980 1,290 1,693 2,983"
"1990 5,452 1,672 1,860 1,790 2,776 1,759 2,257 481 539 4,293 22,879 691 2,817 3,509"
"1991 5,445 1,584 2,254 1,558 3,764 1,716 1,803 446 491 5,255 24,316 706 2,494 3,200"
"1992 5,976 2,033 2,208 1,773 4,333 1,954 2,098 596 482 4,639 26,092 825 2,784 3,609"
"1993 5,708 1,755 2,053 1,695 3,193 2,047 2,053 485 472 4,080 23,541 1,351 2,261 3,612"
"1994 6,980 2,318 2,382 2,108 4,616 2,912 2,972 654 526 4,529 29,997 2,216 3,769 5,985"
"1995 8,269 2,836 2,615 2,301 5,140 2,855 2,758 889 771 4,446 32,880 2,443 3,893 6,335"
"1996 7,941 2,984 2,273 2,459 6,416 3,449 2,736 834 849 4,217 34,158 2,480 5,003 7,482"
"1997 9,940 3,897 3,118 2,507 6,124 4,120 3,558 918 689 4,112 38,983 2,397 5,061 7,458"
"1998 9,640 3,742 2,858 2,087 6,399 3,183 2,521 1,005 686 3,472 35,593 2,065 2,522 4,587"
"1999 10,806 3,236 2,920 2,631 7,150 3,890 3,058 973 716 4,412 39,792 2,842 3,862 6,704"
"2000 9,470 3,158 2,733 3,194 7,431 3,521 2,908 926 707 4,026 38,074 1,525 2,423 3,947"
"2001 7,904 2,679 2,494 2,509 5,757 3,314 3,296 712 580 3,694 32,939 1,893 2,747 4,640"
"2002 7,504 2,235 2,334 2,334 4,207 2,318 1,790 565 487 3,524 27,298 1,281 1,439 2,720"
"2003 7,950 2,549 2,551 2,679 5,518 3,620 2,558 637 558 3,734 32,353 1,668 3,522 5,190"
"2004 7,425 2,590 1,981 2,461 4,073 2,810 2,185 605 617 3,807 28,554 1,407 2,513 3,920"
"2005 6,755 2,179 2,225 2,157 4,586 3,592 2,561 592 521 3,387 28,555 1,461 3,921 5,381"
"2006 7,277 2,825 2,171 2,587 5,860 3,680 3,386 916 691 3,247 32,639 1,644 4,450 6,094"
"2007 8,307 3,356 2,807 2,890 6,708 4,553 3,335 1,009 865 3,452 37,282 1,963 5,040 7,003"
"2008 7,724 2,728 2,487 2,980 6,640 3,508 2,613 1,056 489 3,738 33,962 1,377 3,055 4,431"
"2009 8,512 3,054 2,469 3,444 7,384 4,376 3,225 1,044 662 4,172 38,342 2,866 3,568 6,434"
"2010 8,430 2,977 2,425 3,476 6,329 4,057 3,509 1,064 585 4,244 37,096 2,936 3,729 6,665"
"2011 9,183 3,257 2,084 2,900 8,949 4,641 4,429 1,356 692 4,319 41,810 3,240 4,893 8,132"
"2012 10,602 3,586 2,145 3,471 9,242 5,018 3,473 1,270 760 5,239 44,806 1,659 3,885 5,544"
"2013 10,372 3,351 2,644 3,053 7,731 4,751 3,335 1,202 787 4,166 41,392 2,341 4,551 6,892"
"2014 10,900 3,811 3,117 3,440 8,542 5,279 3,220 1,279 685 4,611 44,884 2,551 4,630 7,181"
"2015 11,643 3,834 3,037 4,081 8,547 4,391 3,043 1,196 757 4,395 44,924 2,157 4,151 6,308"
"2016 11,793 3,712 3,411 4,275 6,689 3,967 2,618 1,289 736 4,992 43,482 1,518 3,494 5,012"
"2017 10,488 4,180 2,777 3,605 7,889 4,353 2,889 1,115 733 4,372 42,401 1,766 4,330 6,096"
"2018 9,255 2,886 2,820 3,043 6,450 4,208 2,365 999 686 3,989 36,701 1,567 3,660 5,227"
"2019 9,423 3,259 2,832 3,178 5,428 3,649 2,269 732 652 3,591 35,013 2,135 2,856 4,991"
2020 *
2021
"2022 7,434 2,685 2,187 2,151 6,491 3,036 1,784 1,067 587 3,655 31,076 1,983 3,474 5,457"
"2023 6,129 2,562 1,890 2,504 5,253 2,859 2,219 931 619 3,519 28,484 1,662 3,314 4,975"
"1955-69 7,722 1,020 2,682 1,502 4,219 1,679 5,496 547 564 5,296 30,727 3,262"
"1970-79 8,199 1,518 2,974 1,858 4,653 1,990 5,526 639 542 6,301 34,200 1,504 4,296 6,016"
"1980-89 6,129 1,438 2,462 1,784 3,827 1,888 3,018 592 510 5,631 27,278 1,242 2,778 4,020"
"1990-99 7,616 2,606 2,454 2,091 4,991 2,789 2,581 728 622 4,346 30,823 1,802 3,447 5,248"
"2000-09 7,883 2,735 2,425 2,723 5,816 3,529 2,786 806 618 3,678 33,000 1,708 3,268 4,976"
"2010-2019 10,209 3,485 2,729 3,452 7,580 4,431 3,115 1,150 707 4,392 41,251 2,187 4,018 6,205"
"1955-2022 7,934 2,058 2,619 2,178 5,128 2,644 3,856 734 591 4,948 32,689 1,711 3,515 5,235"
NAWMP' -21% 33% -27% 22% 6% 14% -44% 33% 7% -30% -11% -2% 5% 4%
Long Term* -23% 25% -28% 15% 2% 8% -42% 27% 5% -29% -13% -3% 6% -5%
